Client name,Development status,Open source client,End-to-end authentication[a],Encryption protocols,,,,Forward secrecy,Multiple encryption,Encrypted group calling,"Proxy, Tor"
,,,,ZRTP,ECDH,DTLS,SRTP,,,,
FaceTime,Active,No[78],No[78],?,?,?,?,Yes[78],?,No,No
Google Duo,Active,No,No,?,?,?,?,?,?,No,No
Jitsi[b],Active,Yes,Yes[78],Yes,No,Yes,Yes,Yes[78],Yes,Yes,?
Line[79][80],Active,No,?,?,?,?,?,?,?,No[79],No
Linphone[b],Active,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,?,No
PGPfone,Abandonware,Viewable source[81],Yes,?,?,?,?,?,?,?,?
Signal,Active,Yes,Yes[78],No,Yes,No,Yes,Yes[78],Yes,No,Depends[82]
Silent Phone,Active,Viewable source[83],Yes[78],Yes,?,?,Yes,Yes[78],Yes,Yes,No
"Skype (opt-in per conversation, one pair of devices per conversation)[84]",Active,No,Yes[85],No,No,No,Yes[86],?,?,No,No
Telegram,Active,Yes,Yes[87],No,No,No,No,Yes,?,No,No
Threema,Active,Partially[c][88],Yes[89],No,Yes[89],Yes[89],Yes[89],Partially[d][89],Yes,No,No
Viber[47],Active,No,?,?,?,?,?,?,?,?,No
WhatsApp,Active,Partially[c][90],Yes[90],No,Yes[90],No,Yes[90],Yes[90],Yes[90],No,No
Wire,Active,Yes,Yes[91],No,?,Yes[54],Yes[54],Yes[92],Yes,Yes,No
Zfone,Abandonware,Viewable source[93],Yes,Yes,Optional[94],?,Yes[95],Yes,Yes,?,?
