Name,License,Deployment,Platforms
<<<<<<< HEAD
netTransformer,GPL,Desktop,Windows/Linux/macOS
OpenNMS,AGPLv3,Desktop,"Linux, macOS, others"
SolarWinds,Proprietary,Desktop,Windows
Spiceworks,Proprietary,Desktop,Windows
=======
NetworkMaps,OpenSource,SaaS,"Windows, macOS, Linux"
Cacoo (Software),Proprietary,SaaS,"Windows, macOS"
ConceptDraw PRO,Proprietary,Desktop,"Windows, macOS"
Microsoft Visio,Proprietary,Desktop,Windows
SmartDraw,Proprietary,Desktop,Windows
Lucidchart,Proprietary,SaaS,"Linux, macOS, Windows"
Gliffy,Proprietary,SaaS,"Linux, macOS, Windows"
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
