Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
<<<<<<< HEAD
Yacht Hydrodynamics Dataset,Yacht performance based on dimensions.,Six features are given for each yacht.,308,Text,Regression,2013,[326][327],R. Lopez
Robot Execution Failures Dataset,5 data sets that center around robotic failure to execute common tasks.,Integer valued features such as torque and other sensor measurements.,463,Text,Classification,1999,[328],L. Seabra et al.
Pittsburgh Bridges Dataset,Design description is given in terms of several properties of various bridges.,Various bridge features are given.,108,Text,Classification,1990,[329][330],Y. Reich et al.
Automobile Dataset,"Data about automobiles, their insurance risk, and their normalized losses.",Car features extracted.,205,Text,Regression,1987,[331][332],J. Schimmer et al.
Auto MPG Dataset,MPG data for cars.,Eight features of each car given.,398,Text,Regression,1993,[333],Carnegie Mellon University
Energy Efficiency Dataset,Heating and cooling requirements given as a function of building parameters.,Building parameters given.,768,Text,"Classification, regression",2012,[334][335],A. Xifara et al.
Airfoil Self-Noise Dataset,A series of aerodynamic and acoustic tests of two and three-dimensional airfoil blade sections.,"Data about frequency, angle of attack, etc., are given.",1503,Text,Regression,2014,[336],R. Lopez
Challenger USA Space Shuttle O-Ring Dataset,Attempt to predict O-ring problems given past Challenger data.,"Several features of each flight, such as launch temperature, are given.",23,Text,Regression,1993,[337][338],D. Draper et al.
Statlog (Shuttle) Dataset,NASA space shuttle datasets.,Nine features given.,"58,000",Text,Classification,2002,[339],NASA
=======
Web of Science Dataset,Hierarchical Datasets for Text Classification,None.,"46,985",Text,"Classification, Categorization",2017,[211][212],K. Kowsari et al.
Legal Case Reports,Federal Court of Australia cases from 2006 to 2009.,None.,"4,000",Text,"Summarization, citation analysis",2012,[213][214],F. Galgani et al.
Blogger Authorship Corpus,"Blog entries of 19,320 people from blogger.com.","Blogger self-provided gender, age, industry, and astrological sign.","681,288",Text,"Sentiment analysis, summarization, classification",2006,[215][216],J. Schler et al.
Social Structure of Facebook Networks,Large dataset of the social structure of Facebook.,None.,100 colleges covered,Text,"Network analysis, clustering",2012,[217][218],A. Traud et al.
Dataset for the Machine Comprehension of Text,Stories and associated questions for testing comprehension of text.,None.,660,Text,"Natural language processing, machine comprehension",2013,[219][220],M. Richardson et al.
The Penn Treebank Project,Naturally occurring text annotated for linguistic structure.,Text is parsed into semantic trees.,~ 1M words,Text,"Natural language processing, summarization",1995,[221][222],M. Marcus et al.
DEXTER Dataset,"Task given is to determine, from features given, which articles are about corporate acquisitions.",Features extracted include word stems. Distractor features included.,2600,Text,Classification,2008,[223],Reuters
Google Books N-grams,N-grams from a very large corpus of books,None.,2.2 TB of text,Text,"Classification, clustering, regression",2011,[224][225],Google
Personae Corpus,Collected for experiments in Authorship Attribution and Personality Prediction. Consists of 145 Dutch-language essays.,"In addition to normal texts, syntactically annotated texts are given.",145,Text,"Classification, regression",2008,[226][227],K. Luyckx et al.
CNAE-9 Dataset,Categorization task for free text descriptions of Brazilian companies.,Word frequency has been extracted.,1080,Text,Classification,2012,[228][229],P. Ciarelli et al.
Sentiment Labeled Sentences Dataset,3000 sentiment labeled sentences.,Sentiment of each sentence has been hand labeled as positive or negative.,3000,Text,"Classification, sentiment analysis",2015,[230][231],D. Kotzias
BlogFeedback Dataset,Dataset to predict the number of comments a post will receive based on features of that post.,Many features of each post extracted.,"60,021",Text,Regression,2014,[232][233],K. Buza
Stanford Natural Language Inference (SNLI) Corpus,"Image captions matched with newly constructed sentences to form entailment, contradiction, or neutral pairs.","Entailment class labels, syntactic parsing by the Stanford PCFG parser","570,000",Text,Natural language inference/recognizing textual entailment,2015,[234],S. Bowman et al.
DSL Corpus Collection (DSLCC),A multilingual collection of short excerpts of journalistic texts in similar languages and dialects.,None,"294,000 phrases",Text,Discriminating between similar languages,2017,[235],"Tan, Liling et al."
Urban Dictionary Dataset,"Corpus of words, votes and definitions",User names anonymised,"2,580,925",CSV,"NLP, Machine comprehension",2016 May,[236],Anonymous
T-REx,Wikipedia abstracts aligned with Wikidata entities,Alignment of Wikidata triples with Wikipedia abstracts,11M aligned triples,JSON and NIF [1],"NLP, Relation Extraction",2018,[237],H. Elsahar et al.
General Language Understanding Evaluation (GLUE),Benchmark of nine tasks,Various,~1M sentences and sentence pairs,,NLU,2018,[238][239],Wang et al.
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
